Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,990658-annotations
WFP,,2009,306010020,
WFP,,2010,253840000,
WFP,,2011,331560000,
WFP,,2012,357650000,
WFP,,2013,362510000,
WFP,,2014,307160000,
WFP,,2015,315190000,
WFP,,2016,339400000,
WFP,,2017,309890020,
WFP,,2018,193250000,
WFP,,2019,322429980,
WFP,,2020,330989980,
WFP,,2021,333400000,
WFP,,2022,365869980,
WHO Strategic Preparedness and Response Plan,,2021,155150000,
WHO Strategic Preparedness and Response Plan,,2022,59010000,
WTO - International Trade Centre,,2020,53100000,
WTO - International Trade Centre,,2021,50710000,
WTO - International Trade Centre,,2022,50400000,
Wellcome Trust,,2017,279589980,
Wellcome Trust,,2018,286750000,
Wellcome Trust,,2019,348540000,
Wellcome Trust,,2020,536710000,
Wellcome Trust,,2021,480440000,
Wellcome Trust,,2022,396429980,
William and Flora Hewlett Foundation,,2017,218440000,
William and Flora Hewlett Foundation,,2018,241070000,
William and Flora Hewlett Foundation,,2019,139910000,
William and Flora Hewlett Foundation,,2020,179620000,
William and Flora Hewlett Foundation,,2021,196850000,
William and Flora Hewlett Foundation,,2022,197540000,
World Bank Group,,1960,-230250000,
World Bank Group,,1961,-335730020,
World Bank Group,,1962,-256109980,
World Bank Group,,1963,294650000,
World Bank Group,,1964,748400000,
World Bank Group,,1965,2009189900,
World Bank Group,,1966,1967120000,
World Bank Group,,1967,2610179800,
World Bank Group,,1968,900990000,
World Bank Group,,1969,1661520000,
World Bank Group,,1970,1064780000,
World Bank Group,,1971,1760340000,
World Bank Group,,1972,1649560000,
World Bank Group,,1973,2977790000,
World Bank Group,,1974,3938090000,
World Bank Group,,1975,4190180000,
World Bank Group,,1976,4945350000,
World Bank Group,,1977,4025940000,
World Bank Group,,1978,3257550000,
World Bank Group,,1979,3638870000,
World Bank Group,,1980,4000800000,
World Bank Group,,1981,4969730000,
World Bank Group,,1982,6159870000,
World Bank Group,,1983,6053650000,
World Bank Group,,1984,6547070000,
World Bank Group,,1985,6793810000,
World Bank Group,,1986,7061430300,
World Bank Group,,1987,6458940000,
World Bank Group,,1988,6072430000,
World Bank Group,,1989,5499290000,
World Bank Group,,1990,6020000000,
World Bank Group,,1991,6378670000,
World Bank Group,,1992,6758100000,
World Bank Group,,1993,6408400000,
World Bank Group,,1994,7667500000,
World Bank Group,,1995,6011490300,
World Bank Group,,1996,7446729700,
World Bank Group,,1997,7274370000,
World Bank Group,,1998,6798070000,
World Bank Group,,1999,6264290000,
World Bank Group,,2000,5636300000,
World Bank Group,,2001,7532339700,
World Bank Group,,2002,9104740000,
World Bank Group,,2003,7231450000,
World Bank Group,,2004,9176120000,
World Bank Group,,2005,8038790000,
World Bank Group,,2006,7184120300,
World Bank Group,,2010,8151570000,
World Bank Group,,2011,6937799700,
World Bank Group,,2012,6984440000,
World Bank Group,,2013,8145440000,
World Bank Group,,2014,10214010000,
World Bank Group,,2015,11066231000,
World Bank Group,,2016,8979490000,
World Bank Group,,2017,10323441000,
World Bank Group,,2018,11338960000,
World Bank Group,,2019,13421660000,
World Bank Group,,2020,15929780000,
World Bank Group,,2021,13156530000,
World Bank Group,,2022,16319700000,
World Diabetes Foundation,,2016,15030000,
World Diabetes Foundation,,2017,15940000,
World Diabetes Foundation,,2018,11650000,
World Diabetes Foundation,,2019,17990000,
World Diabetes Foundation,,2020,26110000,
World Diabetes Foundation,,2021,25290000,
World Diabetes Foundation,,2022,10630000,
World Health Organization (WHO),,2009,460350000,
World Health Organization (WHO),,2010,381829980,
World Health Organization (WHO),,2011,445080000,
World Health Organization (WHO),,2012,400670000,
World Health Organization (WHO),,2013,472170020,
World Health Organization (WHO),,2014,468770000,
World Health Organization (WHO),,2015,730740000,
World Health Organization (WHO),,2016,591990000,
World Health Organization (WHO),,2017,575530050,
World Health Organization (WHO),,2018,540320000,
World Health Organization (WHO),,2019,580290000,
World Health Organization (WHO),,2020,282750000,
World Health Organization (WHO),,2021,591640000,
World Health Organization (WHO),,2022,465700000,
World Organization for Animal Health,,2021,11090000,
World Organization for Animal Health,,2022,11220000,
World Tourism Organization (UNWTO),,2016,14400000,
World Tourism Organization (UNWTO),,2017,13780000,
World Tourism Organization (UNWTO),,2018,10150000,
World Tourism Organization (UNWTO),,2019,8800000,
World Tourism Organization (UNWTO),,2020,8260000,
World Tourism Organization (UNWTO),,2021,12960000,
World Tourism Organization (UNWTO),,2022,12490000,
